,,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,label
datetime,instrument,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label
2018/7/2,SH600096,-0.02371543,0.03952561,-0.60000163,0.007905143,0.20000055,0.007905035,0.19999781,-0.023715539,-0.6000044,1.0242915,1.0323887,0.99190295,,1.0040486,1.1821864,1.3076924,1.3825911,1.4554656,1.0165992,1.0255061,1.1415992,1.2224022,1.2809379,0.010938684,0.023436768,0.12311266,0.1565545,0.12830386,-0.005870455,-0.005447188,-0.019593012,-0.017270653,-0.005413954,0.72003466,0.4951773,0.8864719,0.94316584,0.54306203,-0.004858303,-0.000993755,0.04453439,0.028022256,-0.12122633,1.034413,1.1862348,1.319838,1.4817815,1.4817815,0.98785436,0.98583,0.98583,0.98583,0.98583,1.0234818,1.0356276,1.2692307,1.3785425,1.3793523,1.0097166,1.0105263,1.0186235,1.0222672,1.2348179,4,1,0.25,0.11111111,0.027777778,0.2608675,0.07070685,0.042424113,0.028571334,0.028571334,0.4,0.1,0.05,0.1,0.55,0.2,0.4,0.7,0.8,0.9,0.2,-0.3,-0.65,-0.7,-0.35,-0.18768264,0.37600198,-0.7603249,-0.07836175,0.039621167,0.5458425,-0.31338984,-0.28513405,-0.21506774,-0.054265715,0.4,0.4,0.3,0.26666668,0.4,0.6,0.6,0.65,0.6666667,0.55,-0.2,-0.2,-0.35,-0.4,-0.15,0.47058824,0.16911778,0.16071449,0.22608705,0.30434787,0.5294118,0.8308822,0.8392855,0.77391297,0.6956521,-0.05882353,-0.66176444,-0.67857105,-0.54782593,-0.39130425,0.94016796,0.954672,0.77188414,0.8579407,0.84702766,0.21006532,0.1955652,0.2650068,0.4876732,0.4377036,0.55825293,1.4432346,1.5703523,1.7369189,1.7294643,0.6302466,0.53810847,0.571587,0.43456498,0.47652552,0.3697534,0.4618915,0.42841297,0.56543505,0.52347445,0.2604932,0.07621699,0.14317404,-0.13087004,-0.046948962,-0.005870879
2018/7/2,SZ000538,-0.012979728,0.03959297,-0.3278291,0.019609742,0.4952834,0.007003502,0.1768875,-0.025585968,-0.64622504,1.0131505,1.033018,0.9929044,,1.0132451,0.9981079,1.0417218,1.0510881,0.9058657,0.9963671,0.99694425,1.0123746,1.032608,0.99073166,0.013751712,0.012744037,0.023305876,0.039195888,0.06574581,0.001636708,0.000887008,-0.003004674,-0.003709324,0.002315371,0.035413496,0.044407148,0.581744,0.69408125,0.37827253,0.000359474,-0.000935773,0.016169712,0.021177152,-0.0590351,1.033018,1.033018,1.0771052,1.1357616,1.1357616,0.9653739,0.9653739,0.9653739,0.9653739,0.8684959,1.0069252,1.0069252,1.0277957,1.0626869,1.0487229,0.9833681,0.9833681,0.9974835,1.0004541,0.9102366,12,5,1.5,0.6666667,0.75,0.5118866,0.5118866,0.30990562,0.20321971,0.4920351,1,1,0.1,0.2,0.6,0.6,0.8,0.9,0.93333334,0.16666667,0.4,0.2,-0.8,-0.73333335,0.43333334,-0.012984112,-0.38356918,0.1664754,0.57763153,0.41082895,-0.06991664,-0.24791266,0.012241086,0.17261453,0.3097549,0.2,0.4,0.35,0.43333334,0.5,0.8,0.6,0.65,0.56666666,0.48333332,-0.6,-0.2,-0.3,-0.13333334,0.016666668,0.4140044,0.50639373,0.42036846,0.45138633,0.5524291,0.5859956,0.4936063,0.57963157,0.54861367,0.4475709,-0.17199121,0.012787425,-0.15926307,-0.09722731,0.10485822,0.8596498,0.8320777,0.8762779,1.1648825,1.276476,0.13412708,0.22192387,0.19972327,0.55158055,0.71179366,0.8007743,0.77250046,0.7796394,1.5002303,2.202586,0.75992227,0.5404463,0.44048855,0.49673447,0.48602024,0.24007776,0.4595537,0.5595115,0.50326556,0.5139798,0.5198445,0.08089259,-0.11902293,-0.006531062,-0.027959546,-0.022543669
2018/7/2,SZ000560,-0.013698609,0.03253425,-0.42105192,0.006849336,0.21052693,0.011986306,0.36842117,-0.008561638,-0.2631577,1.0138888,1.0208334,0.9878472,,1.0095845,1.0295895,1.0989403,1.1936305,1.0455937,0.977938,0.9748233,1.0120755,1.0481434,1.1003929,0.018196099,0.020470489,0.042714767,0.06745834,0.08758644,0.004180026,0.003180249,-0.005772864,-0.007021534,-0.002650315,0.13192937,0.22124694,0.6392852,0.8396424,0.27926782,0.013701943,0.010865613,0.042766638,0.053668898,-0.022208635,1.0208334,1.0789351,1.0936056,1.186962,1.3056585,0.9496528,0.940234,0.940234,0.940234,0.940234,0.98952985,0.98952985,1.0506614,1.0992069,1.1936305,0.9642361,0.95774925,0.9653922,0.9824266,1.0242549,20,9,2.25,1,0.25,0.70731705,0.43089747,0.38968098,0.24223432,0.16355228,1,0.5,0.05,0.033333335,0.3,0.6,0.1,0.55,0.7,0.85,0.4,0.4,-0.5,-0.6666667,-0.55,0.12928382,0.34032148,-0.28945762,-0.14717314,0.4162863,0.3452789,-0.2977183,-0.20479672,-0.21593313,0.377484,0.4,0.5,0.45,0.4,0.43333334,0.6,0.4,0.5,0.56666666,0.55,-0.2,0.1,-0.05,-0.16666667,-0.11666667,0.45362377,0.4392085,0.3773698,0.33704525,0.48235035,0.5463762,0.5607915,0.62263024,0.66295475,0.51764965,-0.09275244,-0.12158296,-0.24526043,-0.3259095,-0.035299323,0.932093,1.1439627,0.931464,0.93717736,1.1820968,0.28312778,0.49921453,0.4810019,0.4237999,0.70721316,0.33175823,1.1505783,1.3203188,1.216437,1.5293175,0.22204061,0.53949165,0.48279646,0.49641106,0.5054282,0.7779594,0.46050838,0.51720357,0.503589,0.49457178,-0.55591875,0.078983255,-0.03440709,-0.007177908,0.010856448,-0.021238923
2018/7/2,SZ000878,-0.031413652,0.041884843,-0.7500004,0.001047134,0.025000304,0.009424059,0.22499926,-0.023036726,-0.5500015,1.0324324,1.0335135,0.9902703,,1.0291892,1.16,1.147027,1.2302703,1.241081,1.0194594,1.0335135,1.1175675,1.1434234,1.1807027,0.013306496,0.020987697,0.09020311,0.084374644,0.0709314,-0.005297283,-0.006171991,-0.013437104,-0.007794847,-0.002860464,0.39620408,0.792743,0.7766697,0.6614438,0.4960161,-0.008864858,-0.005739533,0.01008495,-0.03039811,-0.09631898,1.0356756,1.1254053,1.2691891,1.2691891,1.2691891,0.9902703,0.9902703,0.9902703,0.9902703,0.9902703,1.0313513,1.0447567,1.2194594,1.2242162,1.2272433,1.0103784,1.0198919,1.0309188,1.0348108,1.1487567,4,1,0.25,0.11111111,0.027777778,0.2142856,0.07199985,0.034883644,0.034883644,0.034883644,0.8,0.1,0.2,0.46666667,0.18333334,1,1,1,1,1,-0.2,-0.9,-0.8,-0.53333336,-0.81666666,-0.09108008,0.72675997,0.64066494,0.48515496,0.36526534,0.33935374,-0.36150756,0.18882544,0.12105812,0.30013898,0.4,0.3,0.45,0.43333334,0.46666667,0.6,0.7,0.55,0.53333336,0.51666665,-0.2,-0.4,-0.1,-0.1,-0.05,0.29230627,0.12244806,0.3265304,0.30458698,0.3827549,0.7076937,0.877552,0.6734696,0.69541305,0.61724514,-0.41538745,-0.7551039,-0.3469392,-0.39082605,-0.23449023,0.7609591,1.0646169,1.407546,1.3319535,1.2579595,0.19516297,0.64963377,0.8153429,0.70235735,0.5901788,1.0258292,1.9332411,1.484721,1.5758294,1.570607,0.6694223,0.42879197,0.5095262,0.47576988,0.49333513,0.33057767,0.571208,0.49047378,0.5242301,0.5066649,0.33884466,-0.14241603,0.019052438,-0.04846026,-0.013329751,-0.013874173
2018/7/2,SZ002053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8641514,0.014103259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,,,,0.2,0.6,,,,0,0,,,,0.8355077,0.59303874,,,,0.78815204,0.42140967,0,0,0,0.06666667,0.2,0,0,0,0.1,0.35,0,0,0,-0.033333335,-0.15,,,,0.58804625,0.47513375,,,,0.41195375,0.5248663,,,,0.17609249,-0.049732525,,,,,,,,,,,,,,1.310822,2.3213642,,,,0.51209104,0.5196061,,,,0.48790896,0.4803939,,,,0.024182055,0.039212245,
2018/7/2,SZ002059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/2,SZ002265,-0.013840894,0.04065745,-0.340427,0.009515556,0.23404212,0.017300999,0.42553085,-0.006055451,-0.14893827,1.0140351,1.0236843,0.9824562,,0.95,1.081579,1.1280701,1.1500001,1.3535088,0.98684216,0.97263163,1.059693,1.1038013,1.1667982,0.014266167,0.023558615,0.093384676,0.10740766,0.12217659,0.007192968,0.004061668,-0.01313745,-0.010270671,-0.005267375,0.6355382,0.27247128,0.69269,0.7086452,0.56690764,-0.001228076,0.009090887,0.065112755,0.045123532,-0.011410722,1.0236843,1.0596491,1.2070175,1.3973686,1.4324561,0.9219299,0.8903508,0.8903508,0.8903508,0.8903508,1.0008771,0.9922807,1.1636842,1.1778947,1.2707018,0.97578955,0.9491228,0.97368425,0.9791228,1.0812281,16,9,2.25,1,0.25,0.7672409,0.6476683,0.34626046,0.21626298,0.20226541,1,0.1,0.4,0.13333334,0.4,0.2,0.4,0.7,0.8,0.9,0.8,-0.3,-0.3,-0.6666667,-0.5,0.77777123,0.35899794,0.6616378,0.7619309,0.76606077,0.88312775,0.31927985,0.36410213,0.31070057,0.3760316,0.6,0.6,0.55,0.56666666,0.5,0.4,0.4,0.45,0.43333334,0.5,0.2,0.2,0.1,0.13333334,0,0.85185194,0.34951437,0.38412696,0.42635655,0.41871724,0.14814806,0.65048563,0.61587304,0.57364345,0.5812828,0.7037039,-0.3009713,-0.23174605,-0.14728689,-0.16256554,0.93493354,0.9497423,1.1716932,1.5951948,1.9431854,0.16445841,0.1818522,0.3575596,1.1069533,1.3191086,1.0166765,1.33952,1.0467962,1.2015935,1.3770378,0.6191994,0.36685577,0.47394803,0.49425513,0.46106744,0.38080058,0.63314426,0.526052,0.5057449,0.53893256,0.23839882,-0.2662885,-0.052103948,-0.011489779,-0.07786512,-0.041916072
2018/7/2,SZ002428,-0.011627875,0.043927655,-0.26470512,0.020671817,0.47058776,0.011627964,0.26470712,-0.020671729,-0.47058576,1.0117646,1.0326797,0.98823524,,0.98823524,1.0915034,1.303268,1.4509804,1.6810455,0.9968627,0.9858823,1.1014379,1.1960784,1.365207,0.016290128,0.021574575,0.13149916,0.17666832,0.22087355,-0.000392159,0.003675977,-0.020024572,-0.019328957,-0.012042016,0.001448821,0.26611695,0.81161225,0.92768645,0.9065898,0.003921605,-0.002424209,0.08879556,0.084191486,-0.009967463,1.0326797,1.08366,1.3281045,1.4862745,1.8039215,0.96339864,0.93071896,0.93071896,0.93071896,0.93071896,1.0070587,1.0013071,1.2188236,1.3759477,1.5236601,0.9937255,0.9707189,0.9871895,0.9986928,1.1495425,10,7.5,1.875,0.8333333,0.20833333,0.52830267,0.4529917,0.17434216,0.12470591,0.07934133,1,0.1,0.15,0.033333335,0.016666668,0.2,0.2,0.6,0.73333335,0.8666667,0.8,-0.1,-0.45,-0.7,-0.85,0.68166083,-0.30860755,-0.5263002,-0.24920072,0.38043118,0.46545747,-0.15041433,-0.4357575,-0.51002246,-0.34946105,0.4,0.3,0.25,0.26666668,0.33333334,0.6,0.7,0.75,0.73333335,0.65,-0.2,-0.4,-0.5,-0.46666667,-0.31666666,0.5555558,0.35655734,0.25000018,0.23420657,0.29076314,0.44444415,0.6434427,0.7499998,0.76579344,0.70923686,0.11111167,-0.28688535,-0.49999964,-0.5315868,-0.41847375,0.7955048,1.0637645,0.9509676,0.9438455,1.1528711,0.15357631,0.33015913,0.38527748,0.3446126,0.5642249,0.7442163,1.2593455,1.3637486,1.402206,1.361615,0.45341292,0.45561856,0.52437717,0.4934266,0.4654609,0.5465871,0.54438144,0.47562283,0.50657344,0.5345391,-0.09317418,-0.088762864,0.04875435,-0.013146842,-0.06907819,-0.023255825
2018/7/2,SZ002727,0.019344738,0.047425903,0.40789393,0.024337027,0.513159,0.003744139,0.07894713,-0.001248151,-0.026317919,0.98102236,1.0238751,0.9773493,,0.95255595,0.9531681,0.978193,0.95787716,0.7911053,0.9725743,0.9593512,0.97734237,0.9828817,0.92728156,0.026149368,0.025274215,0.03237224,0.03216113,0.080194674,0.008601165,0.006162636,-0.00263811,-0.001340411,0.003588955,0.27047813,0.54499066,0.23243858,0.13462165,0.6108643,0.010223384,0.012916987,0.04771969,0.036554214,-0.033155702,1.0238751,1.0238751,1.0749207,1.0749207,1.0749207,0.92225283,0.88919497,0.88919497,0.88919497,0.7598734,0.9946129,0.981757,1.0016018,1.0088791,0.98795676,0.9478421,0.9412306,0.9519438,0.953079,0.82682467,20,10,3.75,2.4444444,1.4444444,0.76505977,0.82272696,0.5966057,0.5966057,0.76219225,1,1,0.25,0.5,0.75,0.2,0.1,0.55,0.7,0.21666667,0.8,0.9,-0.3,-0.2,0.53333336,0.5988017,0.25864863,0.33688614,0.4781919,-0.08440299,0.672598,0.4882711,0.17069262,0.19772507,0.3550974,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.69326687,0.60912985,0.5257555,0.5301057,0.5813714,0.3067331,0.39087018,0.4742445,0.46989426,0.41862854,0.38653377,0.21825965,0.051511012,0.06021146,0.1627429,0.8545452,0.81520045,0.9027795,1.0020218,1.186148,0.20108183,0.17400324,0.21627213,0.28659928,0.51686984,0.7968977,0.7691448,0.8330167,0.9480606,1.4391656,0.6478492,0.5189342,0.42181972,0.50859755,0.4735931,0.3521508,0.4810658,0.5781803,0.49140245,0.52640694,0.29569837,0.03786835,-0.1563606,0.017195107,-0.052813828,-0.03981048
