datetime,instrument,"Ref($open, -2) / Ref($open, -1) - 1"
2020-07-01,SH600000,0.03261888
2020-07-01,SH600009,0.044425845
2020-07-01,SH600010,0.027777791
2020-07-01,SH600011,0.035294056
2020-07-01,SH600015,0.02907908
2020-07-01,SH600016,0.02090609
2020-07-01,SH600018,0.042654037
2020-07-01,SH600019,0.028199434
2020-07-01,SH600025,0.034482718
2020-07-01,SH600028,0.020408034
2020-07-01,SH600029,0.055769205
2020-07-01,SH600030,0.10342026
2020-07-02,SH600000,0.019855618
2020-07-02,SH600009,-0.0060765743
2020-07-02,SH600010,0.018018007
2020-07-02,SH600011,0.028798342
2020-07-02,SH600015,0.029827356
2020-07-02,SH600016,0.022184134
2020-07-02,SH600018,0.038636327
2020-07-02,SH600019,0.029536009
2020-07-02,SH600025,-0.005128205
2020-07-02,SH600028,0.027500033
2020-07-02,SH600029,-0.010928988
2020-07-02,SH600030,0.09963095
2020-07-03,SH600000,0.101769924
2020-07-03,SH600009,0.036018133
2020-07-03,SH600010,0.07079649
2020-07-03,SH600011,0.0683372
2020-07-03,SH600015,0.105182886
2020-07-03,SH600016,0.09015036
2020-07-03,SH600018,0.04814005
2020-07-03,SH600019,0.07581961
2020-07-03,SH600025,0.025773168
2020-07-03,SH600028,0.048661828
2020-07-03,SH600029,0.07550657
2020-07-03,SH600030,0.092953086
2020-07-06,SH600000,-0.022490025
2020-07-06,SH600009,-0.032584965
2020-07-06,SH600010,-0.03305787
2020-07-06,SH600011,-0.0063966513
2020-07-06,SH600015,-0.046896517
2020-07-06,SH600016,-0.0030627847
2020-07-06,SH600018,-0.02505213
2020-07-06,SH600019,-0.011428475
2020-07-06,SH600025,-0.020100534
2020-07-06,SH600028,-0.023201883
2020-07-06,SH600029,-0.04794526
2020-07-06,SH600030,-0.04144925
2020-07-07,SH600000,0.0073952675
2020-07-07,SH600009,-0.0064978004
2020-07-07,SH600010,0.05128205
2020-07-07,SH600011,0.019313335
2020-07-07,SH600015,0.010130286
2020-07-07,SH600016,0.0
2020-07-07,SH600018,0.023554683
2020-07-07,SH600019,0.025048137
2020-07-07,SH600025,0.04358983
2020-07-07,SH600028,-0.0023753643
2020-07-07,SH600029,0.030575514
2020-07-07,SH600030,0.040999413
2020-07-08,SH600000,-0.022838533
2020-07-08,SH600009,0.011478901
2020-07-08,SH600010,0.016260147
2020-07-08,SH600011,0.0042105913
2020-07-08,SH600015,-0.007163346
2020-07-08,SH600016,-0.012288809
2020-07-08,SH600018,0.004184127
2020-07-08,SH600019,0.009398341
2020-07-08,SH600025,-0.009827971
2020-07-08,SH600028,0.0
2020-07-08,SH600029,-0.0052356124
2020-07-08,SH600030,-0.0015384555
2020-07-09,SH600000,-0.031719506
2020-07-09,SH600009,-0.01095283
2020-07-09,SH600010,-0.023999989
2020-07-09,SH600011,-0.016771495
2020-07-09,SH600015,-0.028860033
2020-07-09,SH600016,-0.02488339
2020-07-09,SH600018,0.0062499046
2020-07-09,SH600019,-0.024208605
2020-07-09,SH600025,-0.019851208
2020-07-09,SH600028,-0.01666665
2020-07-09,SH600029,-0.01578939
2020-07-09,SH600030,-0.021571696
2020-07-10,SH600000,0.0008620024
2020-07-10,SH600009,-0.015343487
2020-07-10,SH600010,0.024590135
2020-07-10,SH600011,0.010660887
2020-07-10,SH600015,0.0029717684
2020-07-10,SH600016,-0.011864424
2020-07-10,SH600018,0.024844646
2020-07-10,SH600019,0.009541988
2020-07-10,SH600025,0.017721534
2020-07-10,SH600028,0.004842758
2020-07-10,SH600029,0.014260173
2020-07-10,SH600030,0.007874012
2020-07-13,SH600000,-0.012058437
2020-07-13,SH600009,0.0027099848
2020-07-13,SH600010,-0.015999913
2020-07-13,SH600011,-0.0021096468
2020-07-13,SH600015,-0.01333338
2020-07-13,SH600016,-0.010291576
2020-07-13,SH600018,-0.024242342
2020-07-13,SH600019,-0.0018903017
2020-07-13,SH600025,0.009950161
2020-07-13,SH600028,-0.0096386075
2020-07-13,SH600029,0.003514886
2020-07-13,SH600030,0.015937448
2020-07-14,SH600000,-0.019180536
2020-07-14,SH600009,-0.015405357
2020-07-14,SH600010,-0.032520294
2020-07-14,SH600011,-0.0021142364
2020-07-14,SH600015,-0.019519508
2020-07-14,SH600016,-0.0155979395
2020-07-14,SH600018,-0.033126295
2020-07-14,SH600019,-0.028409064
2020-07-14,SH600025,-0.0049260855
2020-07-14,SH600028,-0.009732306
2020-07-14,SH600029,-0.0017513633
2020-07-14,SH600030,-0.031067312
2020-07-15,SH600000,0.010666728
2020-07-15,SH600009,-0.03376347
2020-07-15,SH600010,-0.025210142
2020-07-15,SH600011,-0.031779528
2020-07-15,SH600015,-0.004594147
2020-07-15,SH600016,-0.005281627
2020-07-15,SH600018,-0.038544
2020-07-15,SH600019,-0.031189144
2020-07-15,SH600025,-0.03960389
2020-07-15,SH600028,-0.019656062
2020-07-15,SH600029,-0.03684205
2020-07-15,SH600030,-0.057142794
2020-07-16,SH600000,-0.004397571
2020-07-16,SH600009,0.015625
2020-07-16,SH600010,-0.008620739
2020-07-16,SH600011,0.017505407
2020-07-16,SH600015,-0.0061538815
2020-07-16,SH600016,-0.007079661
2020-07-16,SH600018,-0.0066813827
2020-07-16,SH600019,-0.016096532
2020-07-16,SH600025,0.0025773048
2020-07-16,SH600028,-0.0025063157
2020-07-16,SH600029,-0.0091074705
2020-07-16,SH600030,-0.014478147
2020-07-17,SH600000,0.023851633
2020-07-17,SH600009,0.026154041
2020-07-17,SH600010,0.04347837
2020-07-17,SH600011,0.075268745
2020-07-17,SH600015,0.024767756
2020-07-17,SH600016,0.019607782
2020-07-17,SH600018,0.035874367
2020-07-17,SH600019,0.059304714
2020-07-17,SH600025,0.023136258
2020-07-17,SH600028,0.01758802
2020-07-17,SH600029,0.029411793
2020-07-17,SH600030,0.03621459
2020-07-20,SH600000,-0.0034511685
2020-07-20,SH600009,0.0017716885
2020-07-20,SH600010,-0.008333385
2020-07-20,SH600011,-0.022000015
2020-07-20,SH600015,-0.0075528026
2020-07-20,SH600016,-0.0087412
2020-07-20,SH600018,-0.015151501
2020-07-20,SH600019,-0.0038609505
2020-07-20,SH600025,-0.0075377226
2020-07-20,SH600028,0.0
2020-07-20,SH600029,-0.0071429014
2020-07-20,SH600030,0.0039565563
2020-07-21,SH600000,0.0033216476
2020-07-21,SH600009,-0.020408154
2020-07-21,SH600010,0.0
2020-07-21,SH600011,-0.022494853
2020-07-21,SH600015,-0.0060883164
2020-07-21,SH600016,-0.008818388
2020-07-21,SH600018,0.0
2020-07-21,SH600019,-0.019379854
2020-07-21,SH600025,-0.007594943
2020-07-21,SH600028,0.0024690628
2020-07-21,SH600029,0.00899291
2020-07-21,SH600030,-0.012807965
2020-07-22,SH600000,-0.019108295
2020-07-22,SH600009,-0.012500107
2020-07-22,SH600010,0.0
2020-07-22,SH600011,-0.0041840672
2020-07-22,SH600015,-0.013782501
2020-07-22,SH600016,-0.0035586953
2020-07-22,SH600018,-0.01098901
2020-07-22,SH600019,-0.005928755
2020-07-22,SH600025,-0.022959232
2020-07-22,SH600028,0.0
2020-07-22,SH600029,-0.0017825961
2020-07-22,SH600030,0.005655408
2020-07-23,SH600000,-0.02133578
2020-07-23,SH600009,-0.038396597
2020-07-23,SH600010,-0.025210142
2020-07-23,SH600011,-0.025210202
2020-07-23,SH600015,-0.015527964
2020-07-23,SH600016,-0.007142842
2020-07-23,SH600018,-0.01555562
2020-07-23,SH600019,-0.019880831
2020-07-23,SH600025,-0.020887673
2020-07-23,SH600028,-0.012315154
2020-07-23,SH600029,-0.032142878
2020-07-23,SH600030,-0.052596807
2020-07-24,SH600000,-0.008530736
2020-07-24,SH600009,-0.0064356327
2020-07-24,SH600010,0.008620739
2020-07-24,SH600011,0.017241359
2020-07-24,SH600015,-0.0015773773
2020-07-24,SH600016,-0.0035971403
2020-07-24,SH600018,0.004514694
2020-07-24,SH600019,-0.0040567517
2020-07-24,SH600025,0.010666609
2020-07-24,SH600028,0.0049874783
2020-07-24,SH600029,-0.00922513
2020-07-24,SH600030,0.00698328
2020-07-27,SH600000,-0.010516226
